Experience

database (less than 1 year)
html (less than 1 year)
access (less than 1 year)
having 3.5 years of it experience in sql data...
having 3.5 years of it experience in sql data...
database (3 years)
sql (3 years)
java (1 year)
c++ (less than 1 year)
css (less than 1 year).
creo (less than 1 year)
python (less than 1 year)
database (less than 1 year)
java (less than 1 year)
jira (less than 1. year)
css (less than 1 year)
excel (less than 1 year)
ms excel (less than 1 year)
java (3 years)
junit (2 years)
access (less than 1 year)
css (less than 1 year)
database (less than 1 year).
oracle 5 years 2 month     core java developer.
python (2 years)
java (1 year)
css (1 year)
html (1 year)
mysql (1 year)
javascript (less than 1 year)
math and c++ for 4 years.. .
database (3 years)
python (3 years)
sql (3 years)
xml (3 years).
sap abap (2 years).
tcl (4 years)
python (2 years).
abap (2 years)
c++ (less than 1 year)
xml (3 years).
java (3 years)
mysql (3 years)
python (6 years).
chef (1 year)
database (less than 1 year).
html (1 year)
c++ (less than 1 year)
ms excel (2 years)
ms word (2 years)
database (less than 1 year)
sql (less than 1 year)
java (3 years)
cobol (4 years)
cics (4. years)
rexx (4 years).
html (less than 1 year)
sql (less than 1 year)
java (less than 1 year)
database management (less than 1 year).
holt renfrew is 180 years old chain of high-e...
attended a three-day workshop on c and c++ pr...
attended a one-day workshop on java and hardw...
java (10+ years)
javascript (less than 1 year).
.net (less than 1 year)
gap analysis (5 years)
java (6 years)
abap (less than 1 year)
access (less than 1. year).
python (4 years)
tcl (4 years)
database (4 years)
java (2 years).
.net (6 years)
html (less than 1 year)
sql (6 years)
database (less than 1 year)
java (less than 1 year)
jira (less than 1. year)
microsoft office and java (less than 1 year).
perl (10+ years)
sql (10+ years)
database (10+ years)
excel (2 years)
java (1 year).
ava (less than 1 year).
attended a three-day workshop on c and c++ pr...
attended a one-day workshop on java and hardw...
database (1 year)
.net (3 years)
excel (less than 1 year)
microsoft word (less than 1 year)
ms excel (less than 1 year)
word (less than 1 year).
excel (less than 1 year)
html (less than 1 year)
javascript (less than 1 year)
sql (less than 1 year).
excel (less than 1 year)
.net (less than 1 year)
.net 4.5 (less than 1 year)
3 tcs security guard access control room 1 year.
excel (3 years)
ms word (3 years)
word (3 years).
.net (less than 1 year)
database (less than 1 year)
sql (less than 1 year).
oracle pl/sql (6 years)
excel (less than 1 year)
word (less than 1 year).
excel (less than 1 year)
c++ (6 years)
.net (2 years)
java (1 year).
html (less than 1 year)
java (2 years)
sql (2 years).
.net (1 year)
database (3 years)
core java (1 year).
excel (less than 1 year)
c++ (less than 1 year)
css (less than 1 year).
sql (1 year)
html (less than 1 year)
excel (less than 1 year)
word (less than 1 year).
sql server (3 years)
javascript (6. years)
vba (2 years)
excel (10+ years)
arc sight (2 years)
excel (less than 1 year)
ms word (less than 1. year)
self motivated (less than 1 year)
